,date,year,load,load_predict
20454,2006-01-01,2024,5835.8,5913.073505768035
20455,2006-01-02,2024,6400.8,6308.758551137065
20456,2006-01-03,2024,7313.7,6363.507522093746
20457,2006-01-04,2024,7183.9,6350.916084552839
20458,2006-01-05,2024,7106.8,6626.899670404501
20459,2006-01-06,2024,7417.4,6590.22548707302
20460,2006-01-07,2024,6328.9,5860.410766001911
20461,2006-01-08,2024,6074.6,5935.740077750146
20462,2006-01-09,2024,6965.2,6364.3689216123
20463,2006-01-10,2024,7006.7,6449.883601745149
20464,2006-01-11,2024,7061.4,6346.17429466613
20465,2006-01-12,2024,6916.8,6476.934428165289
20466,2006-01-13,2024,6889.2,6353.623730044395
20467,2006-01-14,2024,6047.2,5760.046644374899
20468,2006-01-15,2024,6369.2,5842.514703760292
20469,2006-01-16,2024,6983.7,6158.846717375095
20470,2006-01-17,2024,7220.2,6235.620033135684
20471,2006-01-18,2024,7153.9,6523.966107040364
20472,2006-01-19,2024,7022.4,6203.662094495944
20473,2006-01-20,2024,6783.0,6302.135912946406
20474,2006-01-21,2024,5963.0,5776.851361817848
20475,2006-01-22,2024,6004.6,5766.057033706192
20476,2006-01-23,2024,7102.9,6467.568155856425
20477,2006-01-24,2024,6944.4,6419.762835490944
20478,2006-01-25,2024,7080.6,6307.5240227587365
20479,2006-01-26,2024,7165.9,6399.36767570302
20480,2006-01-27,2024,6991.0,6335.758041441004
20481,2006-01-28,2024,5920.4,5601.903701325777
20482,2006-01-29,2024,5981.4,5670.399505176059
20483,2006-01-30,2024,6899.8,6194.404483425797
20484,2006-01-31,2024,7081.7,6249.579820486938
20485,2006-02-01,2024,7008.9,6161.890985757949
20486,2006-02-02,2024,6884.5,6106.885709990416
20487,2006-02-03,2024,6682.5,5971.5243600844915
20488,2006-02-04,2024,6009.2,5253.710739048156
20489,2006-02-05,2024,5943.9,5529.265814672955
20490,2006-02-06,2024,7057.7,6194.872342390952
20491,2006-02-07,2024,6983.8,6120.068892182369
20492,2006-02-08,2024,7078.7,6141.017706588597
20493,2006-02-09,2024,7078.0,6048.3424841212545
20494,2006-02-10,2024,6948.5,6076.433435151974
20495,2006-02-11,2024,6330.6,5576.076744851681
20496,2006-02-12,2024,6317.0,5601.201690906243
20497,2006-02-13,2024,7130.6,6152.668471748556
